story_key,story_summary,story_description,status,story_points,story_priority,total_in_progress_time,total_blocked_time,total_ready_for_testing_time,total_in_testing_time
TMA-127,Add proper comments to the code,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-126,Add proper logging and exception handling,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-125,Test services individually in local using docker compose,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-124,Persist generated heatmap in a file location,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-123,Generate heatmap in geojson format,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-122,Implement IDW method with configurable power function of 2 for creating heatmaps,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-121,Implement logic to obtain latest air quality index values using timeseries API,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-120,Implement Kubernetes Cronjob for scheduling service,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-119,Externalize generic configuration for RabbitMQ. Follow Best practices for queue creation.,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-118,Perform code review before merging to development branch,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-117,Ensure CI process success with corresponding Docker artifacts,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-116,Merge to main branch with approved merge request from team lead,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-115,Obtain approval for using any new library,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-114,Update any new libraries for OSS clearance,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-113,Use cleared libraries to the greatest extent possible,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-112,Final code availability in main and development branches,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-111,Follow naming conventions,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-110,Perform basic performance testing using simulated values,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-109,Add code commit comments as required,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-108,Perform linting of the code,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-107,Add README section on how to spin the service up locally and test it,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-106,Update README file for the service,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-105,Add copyright header to every code file,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-104,Add proper comments to the code,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-103,Implement proper logging and exception handling,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-102,Unit testing of the service in a local environment using Docker Compose,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-101,Persist generated heatmap to a file location,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-100,Generate heatmap in geojson format,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-99,Implement heat map generation using IDW method with configurable power function,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-98,Implement logic for obtaining latest air quality index values using timeseries API,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-97,Implement service as a Kubernetes CronJob,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-96,Configure queue names and credentials,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-95,Externalize generic configuration for RabbitMQ..,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-94,Testing for functionality and user input,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-93,Ensure visual consistency with design guidelines,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-92,Implement buttons,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-91,Implement dropdowns,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-90,Implement text fields,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-89,Testing for functionality and user input,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-88,Ensure visual consistency with design guidelines,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-87,Implement buttons,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-86,Implement dropdowns,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-85,Implement text fields,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-84,Implement button functionalities for user interaction,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-83,Design buttons in alignment with the application's design guidelines,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-82,Implement dropdown functionality for user selection,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-81,Design dropdowns as per the design guidelines,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-80,Implement text fields functionality for user input,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-79,Design text fields according to the application's design guidelines,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-78,Testing and ensuring functional user input,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-77,Ensure visual consistency with design guidelines,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-76,Implement buttons,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-75,Implement dropdowns,Don't forget to do this too.,To Do,,Medium,0,0,0,0
TMA-74,Implement text fields,Don't forget to do this too.,To Do,,Medium,0,0,0,0
